Movie_Title,Movie_URL,Movie_Cover,Release_Date,Genre,Movie_Directors
All the Way,https://www.imdb.com/title/tt3791216/?ref_=fn_al_tt_54,"https://m.media-amazon.com/images/M/MV5BMzUwMTRmMjYtNjI0ZC00Mzc3LTgyZGQtZTA5OTg5ZmVkZDMxXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_QL75_UX50_CR0,0,50,74_.jpg",2016,Téléfilm,Téléfilm
Toute la beauté et le sang versé,https://www.imdb.com/title/tt21374850/?ref_=fn_al_tt_55,"https://m.media-amazon.com/images/M/MV5BYzQ5OWRhMjktN2ZhOS00OTMzLWE1ZWItMjMxMGY2MWFiMzBhXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX50_CR0,0,50,74_.jpg",2022,,"Nan Goldin, David Velasco"
Il est trop bien,https://www.imdb.com/title/tt4590256/?ref_=fn_al_tt_56,"https://m.media-amazon.com/images/M/MV5BOTQ1YmFkZjQtNWY4OC00ODFiLWJkN2UtYWUzMTA4NTUxM2UxXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_QL75_UX50_CR0,1,50,74_.jpg",2021,,"Addison Rae, Tanner Buchanan"
Les fous du roi,https://www.imdb.com/title/tt0405676/?ref_=fn_al_tt_57,"https://m.media-amazon.com/images/M/MV5BYTg2MTJhMTQtMDQ0OC00Y2Q1LWIxYzQtZjVmMTAyNjkxMjQxXkEyXkFqcGc@._V1_QL75_UY74_CR3,0,50,74_.jpg",2006,,"Sean Penn, Jude Law"
Turtles All the Way Down,https://www.imdb.com/title/tt7737224/?ref_=fn_al_tt_58,"https://m.media-amazon.com/images/M/MV5BZDMwZTlhZGEtNTRkZi00YjI5LTliMDctN2UzZWJkZjk5NmJjXkEyXkFqcGdeQXVyOTc0NjQzOTM@._V1_QL75_UX50_CR0,0,50,74_.jpg",2024,,"Isabela Merced, Cree"
Deux filles au tapis,https://www.imdb.com/title/tt0081964/?ref_=fn_al_tt_59,"https://m.media-amazon.com/images/M/MV5BNWVmNTc5NGMtMDIzMC00NTczLWFhOWQtNDYzOTAwMjU1ODc0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UX50_CR0,2,50,74_.jpg",1981,,"Peter Falk, Vicki Frederick"
Elite Squad,https://www.imdb.com/title/tt6012244/?ref_=fn_al_tt_60,"https://m.media-amazon.com/images/M/MV5BMTEyMWQyMGItZDI5Zi00ZTZlLWE4YmMtYzI5YjE4OGJhZmJkXkEyXkFqcGdeQXVyMjY2ODcxNw@@._V1_QL75_UX50_CR0,0,50,74_.jpg",2018,,"Milo Gibson, Sylvia Hoeks"
All Cheerleaders Die,https://www.imdb.com/title/tt2527186/?ref_=fn_al_tt_61,"https://m.media-amazon.com/images/M/MV5BYTQ5ZWQwZGEtM2U5My00YTk5LTg5MWUtMDZjZjJiNjM2ZDY1XkEyXkFqcGc@._V1_QL75_UX50_CR0,1,50,74_.jpg",2013,,"Sidney Allison, Charon R. Arnold"
La Somme de toutes les peurs,https://www.imdb.com/title/tt0164184/?ref_=fn_al_tt_62,"https://m.media-amazon.com/images/M/MV5BMmYxZjE5MDYtNmE5ZS00M2VmLWE2NjktYzQwNTJmYjhhNjMwXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY74_CR3,0,50,74_.jpg",2002,,"Ben Affleck, Morgan Freeman"
Les fous du roi,https://www.imdb.com/title/tt0041113/?ref_=fn_al_tt_63,"https://m.media-amazon.com/images/M/MV5BZjQyN2MwMjAtNmJmZS00OWZlLWE1NGQtOGZmYmRjZjIyNWEyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX50_CR0,1,50,74_.jpg",1949,,"Broderick Crawford, John Ireland"
